RELIGION,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
164,DIVINE MERCY BIBLE MINISTRY ,9 Orok Close off Ediba,80433548449,,,,,,,Monday: 8 - 12pm    Wednessday: 8-12pm               Sunday: 8 - 10am
165,DIVINE MOUNTAIN OF JOY MINISTRIES ,88 Etta Agbor Road Behind Royal Line Teeth Calabar,07037479592 08184647123,,,,,,,Sunday: 10 - 1:30pm 
166,DIVINE MOUNTAIN OF LIGHT MINISTRY,60/99 Yellow Duke Street Calabar,8069407327,,,,,,,Monday: 6 - 8pm       Tuesday: 6 - 8pm     Thursday: 7 -12pm Sunday: 10 - 12pm 
167,DIVINE POWER RESTORATION MINISTRIES ,24 Ekpo Abasi Street Calabar,,,,,,,,Monday: 4pm           Wednessday: 6pm       Thursday: 7 - 12pm           Sunday: 10 - 12pm
168,DIVINE VINEYARD OF GRACE MINISTRIES ,Muka Sam Hotel 4miles Ikot Ansa Calabar,08109828665   08156292819,,,,,,,Sunday: 8-11am
169,DIVINE VISION CHURCH INCORPORATED,"56 New Airport Road, Calabar",08023799516 08097392107,Church Service,,,,,,Sunday 8am - 1pm             Wenesday 5pm
170,DOMINION CHAPEL INT'L CHURCH,Plot 1 Dominion Avenue Satelite Town Calabar,08036949770  08038023859,,,,,,,Wednessday: 6pm   Sunday: 8am
171,DOMINION HIGH COMMISION INT'L CHURCH INC.,47 Ekpo Abasi Street Calabar ,,,,,,info@dominionhighcomission.org,,Wednessday: 5:30pm  Saturday: 6am             Sunday: am
172,DOMINION HIGH COMMISION INT'L CHURCH INC.,"Benam Suit Hotel, Old Odukpani Road Calabar",8030947350,,,,,,,Wednessday: 5pm (Bible Study)                   Sunday: 8am (Celebration Service)
173,DUNAMIS INT'L GOSPEL CENTRE,20 Mayne Avenue Street calabar,"08108208150, 08054346542",Church servie,,,,,,Sunday 9am             Wenesday 5pm
174,DUNAMIS INT'L GOSPEL CENTRE,20 Mayne Avenue Street calabar,08115313615     08180208158,,,,,,,Wednessday: 5:30pm    Sunday:8am
175,EMMANUEL BAPTIST CHURCH,8 Bassey Oqua Street Calabar,,,,,,,,Wednessday: 6pm   Thursday: 6pm             Sunay: 10am
176,EMMANUEL DELIVERANCE EVANGELICAL MINISTRIES  ,63 Edibe Edibe Road Calabar,,,,,,,,Wednessday: 6pm     Friday: 6pm             Sunday: 10 - 12pm
177,END TIME CHRISTIAN MINISTRY,51 Goldie Street Calabar By NNPC Filling Stataion ,,,,,,,,Tuesday: 6pm                    Thursday: 6pm                Sunday: 9am
178,ETERNAL GLORY MINISTRY ,13 Atamunu Lane Calabar,,,,,,,,Tuesday: 5pm                Thursday: 5pm             Sunday: 10 - 12pm
179,EVANGELICAL CHURCH WINING ALL (ECWA),6 Effanga Street Off Egerton Calabar,,,,,,,,"Wednessday: 6pm   Thursday: 6-8pm (Choir, Youth and Women Fellowship)  Sunday: 8am"
180,EVANGELICAL LIBERATION LIGHT CHAPEL ,Plot 27B Block 26 Off Satelite Town Calabar,8037240941,,,,,abbybecky96@yahoo.com,,Wednessday: 5:30 - 6:30pm                       Friday: 5:30 - 6:50pm                       Sunday: 9 - 11am
181,EXCEEDING GRACE OF GLORY MINISTRY,33 Atu Street Calbar,,,,,,eggmworldwide@yahoo.com,,Wednessday: 5pm   Sunday: 8am                 Tarry Night Every 3rd Friday of Every Month
182,FAITH & HOPE OF ETERNITY MISSION INT'L INC.,49 Ekpo Abasi Street Calabar,,,,,,,,"Tuesday: 6pm (Bible Study)                        Friday: 6pm (Faith Clinic)                           Sunday: 7:30am,  9am (Divine Service)"
183,FAITH & TRUTH EVANGELICAL MISSION,95 Etta Agbor Layout Calabar,,,,,,,,Sunday: 8 - 12pm
184,FAITH & WORK DELIVERANCE MINISTRIES,63 Atakpa Lane Calabar,,,,,,,,Wednessday: 7pm         Thursday: 6 - 10am         Sunday: 9 - 12pm
185,FAITHFUL PALACE GOSPEL MISSSION INT'L,25 Akiba Street Opp Corpers Lodge Ikot Ansa Calabar,08036777050 08037818918,,,,,,,Sunday: 8am (Celebration/Fruitful Service)
186,FAVOUR HOUSE INT'L CHURCH,8 Etinyin Abasi Street ,08037696255  08091398657,,,,,,,Wednessday: 6 - 9pm   Friday: 9 - 2pm               Sunday: 7:30 - 10:30am
187,FELLOWSHIP OF LOVE BIBLE CHURCH,Parliamentary extention Calabar,"08037236642, 08160574304",Church,,,,,,Monday - Sarturday 8am - 6pm
188,FLOURISH ZION MINISTRY,4 Adak Uko Street Calabar,,,,,,,,Tuesday: 6:30 - 9pm     Thursday: 10pm till dawn                   Sunday: 10 - 12pm
189,FOUNDATION FOR CHRISTIAN PREACHERS,"66 Edim Otop Street, Calabar",08069898022 07062730607,Prayer & Counselling,,,,,,Mid-wk Services
190,FOURSQUARE GOSPEL CHURCH ,72 Edim Otop Street Calabar,,,,,,,,Tuesday: 6pm     Friday: 6pm                Sunday: 8am
191,FOURSQUARE GOSPEL CHURCH ,162 Parliamentary Road Calabar,,,,,,,,Tuesday: 6pm                 Friday: 6 - 7pm                  Sunday: 10am  
192,FOURSQUARE GOSPEL CHURCH (ETTA ABGOR BRANCH),81 Etta Agbor Road By Orok Junction Calabar,,,,,,,,Sunday: 8am (Sunday School)   9am (Worship Service)
193,FOURSQUARE GOSPEL CHURCH (IKOT ANSA),34 M/M Highway Ikot Ansa Calabar ,,,,,,,,Tuesday: 6 - 8pm (Bible Stuy)              Friday: 6 - 7pm (Power hour)       Sunday: 9am (Sundday School) 10am (Worship)
194,FRUITFUL VINE GOSPEL MISSION (AKA DIAMOND CITY CHURCH),87C Old Odukpani Road Opp Effiom Usang Stret Calabar,,,,,,,,Mid week Services: 5pm                     Sunday: 8am
195,FULL GOSPEL CHURCH OF GOD INC.,1 Nyak Asang Close Off 146 Old Odukpani Roa Calabar,08034298940   07088822345,,,,,,,Sunday: 8- 12:30pm (Mega Service)
196,FUNDAMENTAL CHAPEL,12 Adak Uko Street Calabar,,,,,,,,Tuesday: 5pm             Wednessday: 9 - 12pm            Sunday: 9 -12pm
197,GATE OF ZION CHURCH OF GOD,4 Nyatawo Street Calabar,,,,,,,,Thursday: 6 - 8pm          Saturday: 6 - 8pm       Sunday: 9 - 12pm
198,GLOBAL INTERCESSORS BIBLE CHURCH,16 Ewa Ekeng Street Calabar,,,,,,,,Sunday:  8am (Divine Service)
199,GLORIOUS CHRISTIAN ASSEMBLY CHURCH INC.,31 Abasi Street Calabar,,,,,,,,Tuesday: 6pm               Thursday: 7am (Fasting)                 Sunday: 8am
200,GLORIOUS FAITH MINISTRY,9 Abua Street Calabar,,,,,,,,Tuesday: 5:30pm Friday: 5:30pm                     Sunday: 8am                     Tarry Night holds Last Friday of every month
201,GLORIOUS MOUNT ZION INT'L ,8/12 Okon Edak Street Calabar Off Palm Street Calabar,,,,,,,,Tuesday: 6pm           Thursday: 6pm      Sunday: 9am              Tarry Night Every 3rd Friday of the Month
202,GOD AT WORK MAXIMUM LIFE ASSEMBLY ,7B Mount Zion Close,,,,,,,,Wednessday: 6 - 8pm           Sunday: 8 - 11am
203,GOD OF VENGEANCE ,14 Fenton Street Calabar,,,,,,,,Tuesday: 5 - 7pm       Thursday: 5 - 7pm                     Sunday: 9 - 12pm                     
204,GOD'S AMBASSADORS DIPLOMAT BIBLE MISSION,9 Iso Oqua Street Calabar,813114370,,,,,,,Wednessday: 6pm            Saturday: 10am        Sunday: 10am
205,GOD'S FOUNDATION MINISTRIES INT'L,6 Okoho Ephraim Street Off Yellow Duke Calabar,,,,,,,,Tuesday: 7pm            Wednessday: 6pm      Thursday: 8am          Saturday: 6am         Sunday: 8am
206,GOD'S GRACE MINISTRY INC. (CALABAR BRANCH),170 M/M Highway Calabar,,,,,,,,Sunday: 8:30 - 12pm
207,GOD'S POSSIBILITY CHRISTIAN CENTRE,2 Grace Edet Cresent Calabar,8037936571,,,,,,,"Monday: 5:30pm          Thursday: 6pm         Sunday: 7:20 - 8:20am, 9 - 10:45am"
208,GOD'S POWER DELIVERANCE MINISTRY ,65 Palm Street Calabar,,,,,,,,Tuesday: 6 - 12pm      Thursday; 5 - 8pm        Sunday:10am
209,GOD'S SALVATION ZION CHURCH,46 Afokang Street Calabar,,,,,,,,Tuesday: 6pm               Saturday: 8am             Sunday: 9am
210,GOD'S SANTUARY MISSION,101 Palm Street Calabar,8038717203,,,,,,,Wednessday: 6pm      Ffriday: 6:30 - 8:30pm      Sunday: 9 - 12:30pm
211,GOD'S THE HOST PRAYER TEMPLE ,76 Edibe Edibe Road Calabar,,,,,,,,Tuesday: 6pm              Thursday: 6pm               Sunday: 10am
212,GOD'S ZION CHURCH,29 Atakpa Lane Calabar,,,,,,,,Tuesday: 5:30 - 7pm      Thursday: 6 - 8pm             Sunday: 9 - 12pm                 
213,GOSHEN CITY CHURCH,122 M/M Highway Capital 8miles Calabar,,,,,,,,Sunday: 8am
214,GOSPEL APOSTOLIC CHURCH,152 M/M Highway By BeeBosco Junction Calabar,,,,,,,,Mid week: 5:30pm Sunday: 7:30am 
215,GOSPEL HARVEST ASSEMBLY,20 Elijah Henshaw Street Calabar,,,,,,,,Monday: 6am            Wednessday: 6pm      Friday: 6pm         Sunday: 8 - 11am
216,GOSPEL TRUTH SALVATION CHURCH (AKA DELIVERNACE MINISTRY),21 Itu Okon Street Off Old Odukpani Road 4miles Ikot Ansa Calabar,,,,,,,,Sunday: 8-12pm
217,GRACE AND WORSHIP BIBLE MINISTRY ,5 Asim Okpo Street Nyakasang Calabar,8067850114,,,,,,,Monday: 8pm        Tuesday: 5pm             Sunday: 10am
218,GRACE CITY EVANGELICAL MINISTIES ,33 Fenton Street Calabar,,,,,,,,Monday: 6pm              Tuesday: 4pm              Wednessday: 6 - 8pm   Sunday: 9 -12pm
219,GRACE DAYS ASSEMBLY,2 Doctor Ekong Street Calabar,,,,,,,,Tuesday: 6 - 8pm         Thursday: 6:30 - 8:30pm               Sunday: 9am
220,GRACE LIFE CHRISTIAN ASSEMBLY,35 Atu Street By Nelson Mandela Calabar ,08189910425    08034595374,,,,,,,Wednessday: 6pm    Sunday: 9am
221,GRACE PEACE MINISTRIES (AKA CITY OF GREATNESS & PEACE),8 Beckle Devis Street Calabar,,,,,,,,Sunday: 8am
222,GRACE PORCH GLOBAL MINISTRY,3 Ibok Street Off Parliamentary Calabar,,,,,,,,Monday: 5 - 7pm         Wednessday: 5 - 8pm         Sunday: 10am
223,GREAT BELIEVERS ASSEMBLY,1 Technical Road Ikot Effanga Calabar,,,,,,,,Wednessday: 6pm    Sunday: 8am
224,GREAT DIVINE GLORY OF GOD EVANGELISTIC MINISTRY,80 Yellow Duke Street Calabar,,,,,,,,Wednessday: 6:30 - 8pm                  Thursday: 4pm              Sunday: 6:30 - 9:30am (1st Service)  9:30am (2nd Service)
225,GREAT JOY OF SALVATION MINISTRIES INT'L,78 Goldie Street Calabar,8062564286,,,,,,,Monday: 6pm           Wednessday: 6pm         Friday: 6am                    Sunday: 9am
226,GREAT TENT OF TESTIMONIES MINISTRY,85 AtimboStreet Calabar,08068122261 08027292342,,,,,,,Tuesday: 6 - 9pm    Friday: 6 - 9pm                Sunday: 9 - 12pm
227,GREATER EVANGELISM WORD CRUSADE,6 Okodi Lane Off Yellow Duke Street Calabar,,,,,,,,Monday: 5 - 6pm       Tuesday: 6 - 8pm     Thursday: 6 - 8pm      Sunday: 9 - 12pm
228,GREEN PASTURES CHRISTIAN CENTRE,34 Fenton Street Calabar,8054393384,,,,,,,Tuesday: 6 - 7:30pm              Wednessday: 6 - 7:30pm                  Sunday: 8 - 10:30am
229,HARVEST TIME BIBLE CHURCH (AKA MIRACLE ARENA),5 Kent Street Off Charmley Street Calabar,,,,,,,,Sunday: 8am 
230,HEIRS OF GOD EVANGELISTIC MINISTRIES,"3 Esuk Otuc Close Btween NYSC & NTA, 9 M/M Highway Calabar",,,,,,,,Sunday: 10 - 12pm
231,HERMON CITY,Plot A Esuk Utan Inustrial Area Calabar,,,,,,,www.hermoncity.org,Wednessday: 6pm     Sunday: 7 - 9am (1st Service)  9 - 11am (2nd Service)
232,HOLY GHOST PARTNER PRAYER NETWORK INT'L,22/23 Ikot Effiong Nta Street Calabar,8036056014,Interdenominational Christian Fellowship ,,,,,,Wednessay: 5-7pm
233,HOLYGHOST CATHOLIC CHURCH,Navy Barracks Atimbo (Insie),,,,,,,,Thursday: 6pm (Confession)               Saturday: 6pm (Confession)                   Sunday: 6am
234,HOME GOSPEL MISSION INT'L,7 Ikom Street Calabar,,,,,,,,Wednessday: 6pm        Friday: 6pm             Sunday: 10am
235,HONEYSTREAM CHRISTIAN CENTRE,"Ashbuny Hall, The Mirage Hotel MCC Road Calabar",,,,,,,,Friday: 5pm                    Sunday: 8am
236,HOUSE OF DESTINY,92 Mayne Avenue Street Calabar,,,,,,,,Sunday: 8am
237,HOUSE OF FAITH CHURCH ,28 Yellow Duke Street Calabar,,,,,,,,Monday: 6pm            Wednessday: 6pm      Sunday: 10am
238,HOUSE OF VICTORY BIBLE MINISTRIES ,130D Old Odukpani Road Ikot Ansa Calabar,,,,,,,,Sunday: 8am (Sundday School) 9am (Worship)
239,HOUSE OF WORSHIP INT'L CHURCH,19 Atamunu Street Calabar,,,,,,,,Wednessday: 6:30 - 7:30pm                       Sunday: 8:30 - 11:45am 
240,HOUSE ON THE ROCK,56 Nsefik Eyo Crusent Opposite Okon Nsa Filling Station ,,,,,,,,Sunday: 8am
241,INDEPENDENT BAPTIST CHURCH,Effio ette Junction Calabar,,,,,,,,Wednessday: 7pm (Bible Study)            Sunday: 9:30am
242,INSPIRATIONAL POWER CHURCH,7/8 Ewa Henshaw Street Calabar,08068088696     08092135213,,,,,,www.inspirationalpowerchurch.org,Wednessday: 6pm    Sunday: 8:30am
243,INTERCESSORS BIBLE MISSION ,10 Asuquo Ekpo Street Calabar,08037248564  08064010085,,,,,,,Wednesday: 5pm Sunday: 8am
244,INTERCESSORS BIBLE MISSION (IBM) (GATE WAY CATHEDRAL),12 Kilo Ikot Omin 8miles Calabar,,,,,,,,Sunday: 8am
245,JESUS CARES FOR THE WORLD OUTREACH,149 Parliamentary Road Calabar,,,,,,,,Tuesday: 5pm               Wednesdday: 7am                  Sunday: 8am                   Tarry Night Every Last Friday of the Month
246,JESUS CHRIST OF NAZARETH CHURCH ,Plot B Ikot MBO Layout Off M/M Highway Calabar,,,,,,,,"Sunday: 8:15 - 9:30am (1st Service), 9:30 - 12pm (Victory Celebration Service)"
247,JESUS CHRIST SON OF THE LIVING GOD MINISTRY,68 Musaha Lang Calabar,,,,,,,,Wednessday: 6 - 1pm   Friday: 5 - 7pm                Sunday: 9 - 12pm
248,JESUS REIGNS MINISTRY INC.,30 Eyo Ita Street Calabar,,,,,,,,Monday: 6 - 8pm       Tuesday: 6 - 8pm     Wednessday: 8 -12pm Sunday: 9 - 12pm 
249,JUBILEE GOSPEL CENTRE (AKA CITY OF INCREASE),29 White House Street Calabar,,,,,,,,Sunday 8am
250,KINGS & PRIESTS MINISTRIES,Etim Effiong Duke Complex Effio ette Roundabout Calabar,,,,,,,,Wednesday: 5pm      Sunday: 9am
251,KINGSWAY GLORIOUS LIFE CHURCH,22 Edim Otop Street Calabar,,,,,,kingswaygloriouslifechapel@yahoo.com,,Wednessay: 10 - 3pm                     Thursday: 5:30pm           Sunday: 7:30am
252,LATTERDAYS GOSPEL POWER MINISTRY ,65 Mayne Avenue Calabar,08027961147   08072881216,,,,,laterdaysgospelpowerministries@yahoo.com,,Tuesday: 7 - 12pm        Friday: 5 - 7pm             Sunday: 9 -12pm
253,LIBERTY GOSPEL CHURCH,Palace Temple Liberty Gospel Church Headquarters Off Ndidem Usang Iso Road Calabar,,,,,,,,Sunday: 8am
254,LIBERTY GOSPEL CHURCH,11/13 Imma Primary School Close Ikot Ansa Calabar,,,,,,,,Sunday: 8:30am
255,LIBERTY GOSPEL CHURCH,6 Aba Street Calabar,08033674567  08037262443,,,,,,,Wednessday: 6pm Friday: 6pm         Sunday: 9am
256,LIBERTY GOSPEL CHURCH,2 Jebs Layout  Calabar,,,,,,,,Tuesday: 5 - 7pm        Thursday: 5 - 7:30pm   Sunday: 8 - 12pm
257,LIBERTY GOSPEL CHURCH,50 Edim Otop Street Calabar,08032973508    08025403574,,,,,,,Tuesday: 6pm       Wednessday: 6pm Thursday: 6pm         Sunday: 9am
258,LIBERTY GOSPEL CHURCH,101 Marian Road Calabar,,,,,,,,Tuesday: 6 - 8:30pm       Thursday: 6 - 8pm                     Sunday: 8:30 - 12pm                     Tarry Night holds Last Friday of every month
259,LIBERTY GOSPEL CHURCH,30 Magnus Henshaw Street Calabar,,,,,,,,Thursday: 6 - 8:30pm          Sunday: 8:30 - 12:30pm
260,LIBERTY GOSPEL CHURCH (HEADMASTERS),Ibom Layout Off Ndidem Usang Iso Road Calabar,08033674567   08037262443,,,,,,,Wednessday: 6pm        Friday: 6pm                  Sunday: 9am 
261,LIFE ASSURANCE BIBLE MINISTRIES ,169 Old Oukpani Road Ishie Town Calabar ,,,,,,,,Sunday: 10 - 12pm
262,LIFE CHANGERS CHURCH,108 Nelson Mandela Road Calabar,08182042866  07064968341,,,,,,,Wednessday: 6pm     Sunday: 8am
263,LIFE COVENANT GOSPEL MISSION,Unique Secondary Commercial School 8miles Ikot Omin Calabar,,,,,,,,Sunday: 9am
264,LIFE COVENANT GOSPEL MISSION,6 Abasi Ekure Off Adak Uko Street Calabar,,,,,,,,Tuesday: 5pm                Friday: 5pm             Sunday: 8am
265,LIFE GATE POWER MINISTRIES,91 Yellow Duke Street Calabar,,,,,,,,Wednessday: 5 - 6:30pm                      Sunday: 9:30 - 11:30am
266,LIFE MANIFESTATION MINISTRY,12 Inua Abasi Street Calabar,,,,,,,,Tuesday: 5pm              Thursday: 5pm                   Sunday: 9:30 - 12:30pm
267,LIFE OF LIFE MINISTRES,10 Otu Ekong Street Off New Obutong Calabar,,,,,,,,Sunday: 8am
268,LIFE OUTREACH GOSPEL CHURCH,4 Grace Edet Cresent Calabar,,,,,,,,Wednessday: 6pm      Sunday: 9am
269,LIGHT HOUSE TOWER CHRISTIAN CHURCH,Clement Ebri Close By Grace & Gold Schools Calabar,,,,,,,,Tuesday: 6pm (Fasting & Prayer)                  Thursday: 6pm (Weekly Rhema)                           Sunday: 9am (Worship Service)
270,LIVING CHRIST FOUNDATION CHURCH INC.,14/16 Ebuka Street Calabar,08023766442  08073440158,,,,,,,Sunday: 9am
271,LIVING FAITH CHURCH,14 Hawkins Road Calabar,,,,,,,,Wednessday: 5pm  Sunday: 9:30am
272,LIVING FAITH CHURCH,20 Abitu Avenue Calabar,,,,,,,,Wednessday: 5pm        Sunday: 7am (1st Service)    9:30am (2nd Service)
273,LIVING FAITH CHURCH ,Opp Margaret Ekpo International Airport IBB War Calabar,,,,,,,,Wednesday: 5pm      Sunday: 7 - 9:30am (1stService)   9:30 - 11:30am (2nd Service)
274,LIVING FAITH CHURCH ,26 Ekondo Street Calabar,,,,,,,,Mid week Services: 5:30pm                Sunday: 7am (1st Service) 9:15am (2nd Service)
275,LIVING FAITH CHURCH ,36 Yellow Duke Street Calabar,,,,,,,,Wednessday: 5pm   Sunday: 9:30am
276,LIVING FAITH CHURCH  (WINNERS CHAPEL),2A Diamond Lane Calabar,,,,,,,,Wednessday: 5pm           Sunday: 7 - 9am (1st Service)  9:15 - 11am(2nd Service)
277,LIVING FAITH CHURCH  (WINNERS CHAPEL),106 Eta Nya Street Behind Mobil Filling Stattion Ibom Layout Calabar,,,,,,,,Wednessday: 5pm           Sunday: 7 - 9am (1st Service)  9:15 - 11am(2nd Service)
278,LIVING FAITH CHURCH (AKA WINNERS CHAPEL INT'L),"Behind Hawkins Primary School, Hawkins Road, Henshaw Town Calabar ",,,,,,,,Mid week: 5:30 - 7:30pm                Sunday: 8-10am
279,LIVING FAITH CHURCH (AKA WINNERS CHAPEL INT'L),21 Edgerly Road Calabar,,,,,,,,Wednessday: Mid week Services: 5:30pm                Sunday: 8-10am
280,LIVING FAITH CHURCH (AKA WINNERS CHAPEL INT'L),Winner's Way By Axari Hotel M/M Highway Calabar,,,,,,,,Sunday: 7 am(1st Service)   9:15am (2nd Service)
281,LIVING FAITH CHURCH (AKA WINNERS CHAPEL INT'L),Ikot Omin M/M Highway Opp. Aify Alluminion Company ,,,,,,,,Daily: 6pm (Prayere hour)                  Midweek Service: 5:30pm               Sunday:  7:10 (1st Service)  9:20am (2nd Service)  
282,LIVING FAITH CHURCH (AKA WINNERS CHAPEL INT'L),156 MCC Road Calabar,,,,,,,,"Wednessday: 5 - 7pm                                  Sunday: 7am, 9am"
283,LIVING FAITH CHURCH WORLDWIDE (WINNERS CHAPEL),"Winner's way opp. TTC Junction , Calabar",08069092700,Religion,,"20 Edgerly Road, Calabar",,,," Wenesday 5.30pm Sunday 7am, 9am"
284,LIVING FAITH CHURCH WORLDWIDE (WINNERS CHAPEL),59 Atu Street Calabar,,,,,,,,Wednessday: 5pm                Sunday: 7am (1st Service)   9am (2nd Service)
285,LUTHERAN CHURCH OF NIGERIA ,12 Asari Eso Layout Calabar,,,,,,,,Wednessday: 5:30pm    Friday: 5:30pm             Sunday: 9 - 12pm             
286,LUTHERAN CHURCH OF NIGERIA ,111 Nelson Mandela Road Calabar,,,,,,,,Wednessday: 6 - 7pm   Thursday: 8 - 12pm      Friday: 6 - 7pm             Sunday: 9:30 - 12pm
287,LUTHERAN CHURCH OF NIGERIA ,1 Okon Effiong Sreet Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Friday: 6 - 8:30pm  Sunday: 9:30 - 12pm 
288,LWING FAITH CHURCH ,Old 15 Marian Road Calabar,,,,,,,,Wednesssday: 5pm         Sunday: 7am (1st Service)  9:15pm (2nd Service)
289,MAJESTY CHRISTIAN CENTRE ,13 Inua Abasi Stret Calabar,,,,,,,,Wednessday: 5:30pm      Sunday: 9 - 11am
290,MARRIFOLD GRACE DELIVERANCE OUTREACH,28 Etta Agbor Layout (Opp Mechanic Workshop),,,,,,,,Wednessday: 7-12pm            Thursday: 5-8pm     Sunday: 5-8pm (talkshow)
291,MEGA CHURCH CHRISTIAN ASSEMBLY ,10 Richard Henshaw Street Calabar,,,,,,,,Sunday: 8am
292,MEGA FAITH CHURCH ,10 Richard Henshaw Street Calabar,07033844503    0802475667,,,,,,,Wednessday: 6pm Sunday: 7:30am (1st Service) 10am (2nd Service)
293,MEGA POWER MINISTRY,18B King Street Off Big Qua Calabar,803338527,,,,,,www.opmworldwide.com,Wednessday: 5pm           Sunday: 8am
294,MESSIAH FELLOWSHIP MISSION,70 Yellow Duke Street Calabar,,,,,,mefemi@yahoo.com,,Wednessday: 6pm        Friday: 6pm             Sunday: 10am
295,METHODIST CHURCH ,79 Atamunu Street Calabar,,,,,,,,Wednessday: 6pm      Friday:5pm              Sunday: 10am
296,METHODIST CHURCH NIGERIA,"3 Ikwo Nkibong Street, Nyahasang Calabar",,,,,,,,Wednessday: 5pm        Friday: 5pm              Sunday: 10am
297,METHODIST CHURCH NIGERIA,77/87 Edibe Edibe Road Calabar,,,,,,,,Wednessday: 7pm          Friday: 5pm             Sunday: 9am
298,METHODIST CHURCH NIGERIA,5 Jebs Layout Off Abitu Avenue Calabar,,,,,,,,Wednessday: 5pm         Friday: 5pm                  Sunday: 10am
299,METHODIST CHURCH NIGERIA,80 Edim Otop Street Calabar,,,,,,,,Wenessday: 6pm       Friday: 5pm                 Sunday: 10am
300,METHODIST CHURCH NIGERIA (IKOT UDUAK),15 Etim Ekpo Cresent Off Parliamentary Road Calabar,,,,,,,,Wednessday: 6pm      Friday:5pm              Sunday: 10am
301,METHODIST CHURCH NIGERIA (WESLEY CHURCH),278 Old Odukpani Road Calabar,,,,,,,,Friday: 5pm (Bible Stuy)                              Sunday: 10am
302,MIMSHACK INT'L WORSHIP CENTRE ,12 Edibe Edibe Road Calabar,8036531259,,,,,,,Wednessday: 6 -8pm      Sunday: 8 - 10am
303,MOUNT OF GOD'S DELIVERANCE MINISTRIES ,47B Atu Street Calabar,,,,,,,,Monday: 6pm               Wednessday: 6pm           Sunday: 9am
304,MOUNT OF LIFE & DELIVERANCE GOSPEL CHURCH INT'L,33 Ekpo Abasi Street Calabar,,,,,,MLDG@yahoo.com,,Sunday: 8am
305,MOUNT OF MERCY CHURCH,74 Mount Zion Road Calabar,,,,,,,,Tuesday: 7pm              Wednessday: 6pm         Sunday: 10 - 12pm
306,MOUNT OF SALVATION DELIVERANCE MINISTRY INC.,2 Ekpo Nwa Lane Calabar,,,,,,,,Tuesday: 5 - 7:30pm              Thursday: 6 - 8pm          Sunday: 10 - 1pm
307,MOUNT REFUGE MISSION INC.,13 Ekpo Abasi Lane Calabar ,,,,,,,,Tuesday: 5pm (Bible Study)                      Friday: 7am                  Saturday: 6am (Children/Women Fasting)                       Sunday: 8am
308,MOUNT ZION BLESSED CHURCH NIGERIA,88 Yellow Duke Street Calabar,8037068586,,,,,,,Tuesday: 8am             Wednessday: 7pm         Friday: 7pm            Sunday: 10am
309,MOUNT ZION GOSPEL CHURCH INC.,31/33 Wiiliam George Street Calabar,,,,,,,,Sunday: 8-12pm 
310,MOUNT ZION GOSPEL CHURCH INC.,14 Ita Odionka Street Calabar,,,,,,,,Tuesday: 7pm            Thursday: 7pm               Saturday: 7pm               Sunday: 10am     
311,MOUNT ZION GOSPEL CHURCH INC. (THE NEW COVENANT CHURCH),14 Okon Effanga Close Calabar,,,,,,,,Sunday: 9am
312,MOUNT ZION LIGHT HOUSE FULL GOSPEL,12 Apostolic Road Calabar,,,,,,,,Tuesday: 6pm           Thursday: 6pm   Sunday: 10 - 12pm
313,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHUCRCH,18 Mesembe Street Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm           Saturday: 6pm     Sunday: 10am
314,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHUCRCH,29 Mount Zion Road Calabar,,,,,,,,Tuesday: 6pm                Thursday: 6pm        Saturday: 6pm   Sunday: 10am
315,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHUCRCH,2 Diamond Hill Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm           Saturday: 6pm     Sunday: 10am
316,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH ,6/10 Egerton Street Calabar,,,,,,,,Sunday: 9am
317,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH ,11 Efio Awan Street Calabar ,,,,,,,,Tuesday: 6pm                 Thursday: 6pm            Saturday: 6pm              Sunday: 10am
318,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH ,3 Diamond Hill Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm              Sunday: 10am
319,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH ,8 Asari Eso Layout Calabar,,,,,,,,Tuesday: 6 - 9pm    Thursday: 6 - 9pm                Sunday: 10 - 12pm
320,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH (ESUK OROK ASSEMBLY),5 Ene-obong Lane Calabar,,,,,,,,Tuesday: 6pm             Thursday:6pm   Sunday: 10am
321,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH (OTOP OTOP ASSEMBLY),1 Atimbo Road Calabar,,,,,,,,Tuesday: 6 - 9pm    Thursday: 6 - 9pm                Sunday: 10 - 12pm
