RETAIL & REPAIRS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/Hours
144,MOFFI POWER PLANET,"73 Ndidem Usang Iso Road, Calabar ",08033868887 08053442499 ,Electronical Product,,,"Bulb, Lamp, Fan, Electrical Cable",moffipowerplanet@yahoo.com,,Mondays - Saturdays 8am - 7pm
145,MONDAY'S STORE,"133 Old Odukpani Road, Calabar",08036030016,Provision & Cosmetics,,,,,,Mondays - Saturdays  8am - 10pm  
146,MONEYMEN STORE,41 Ibb Way Calabar,08130186687,Wholesale Drinks,,,Drinks & Provision,,,Mondays - Saturdays 8am - 6pm
147,MORENIKE KAY N KAY STORES,79 Ndidem Usang Iso Road Calabar,08033514279,Drinks & Other Accessories,,,"Watches, Belt, Drinks, Provision",,,Mondays - Saturday 7am - 8pm
148,MOSCO COMMUNICATION SERVICES,"Park Lane by Border Road, Ikom",08064772094 08058036317,Phone & Accessories,,,Phone & Accessories,,,Mondays - Saturdays  8am - 5pm  
149,MUA ENTERPRISES,29 Ndidem Usang Iso Road Calabar,08175457433 07030460722,Provision Store,,,Provision Store & Drinks,,,Mondays - Saturdays 7am - 8pm
150,N & N NIG. ENTERPRISES,"7 Garden Street, Calabar",08033881427 08030633697,Safety& Equipment,,,"Supply of Industrial Materials, Welding & Woodwork Equipment",nyandifreke@yahoo.com,,Mondays - Saturdays 8am - 6pm
151,NAPPY G.S.M CLINIC,17 Palm Street Calabar,07064463611,Phone Repairs,,,Phone Repairs & Sales of Parts,,,Mondays - Saturdays 8am - 6pm
152,ND COMPUTER WORLD,"77 Calabar Road, Calabar",08039123561,Sales & Repairs of Computer,,,,,,Mondays - Saturdays  8am - 6pm  
153,NED SYSTEMS,"39 Ndidem Usang Iso Road, Calabar ",08037183338  08093129165 08176285865,Computer & Accessories,,,Computer Services & Household,,www.egobia.com,Mondays - Saturdays 8am - 6.30pm
154,NEDUS COMPUTER AND COMMUNICATION,"53 Bedwell Street, Calabar",08035050809,"Phone Accessories, Recharge Cards & Laptop",,,"Phone Accessories, Recharge Cards & Laptop",,,Mondays - Saturdays 8am - 6pm
155,NESTER ALUMINUM,54 Mayne Avenue Street Calabar,08039090338,Alluminium Material,,,Making glass show cases & Alliminium Doors,,,Mondays - Saturdays 8am - 6pm
156,NG- WAY SUPERMARKET,55 Palm Street Calabar,"08069268120, 08063097515",Provisions,,,Provisions & Drinks,,,Mondays - Saturdays 8am - 6pm
157,NKEM STORES,"155 Old Odukpani Road, Calabar",08064436681,Supermarket,,,,,,Mondays - Sundays 7am - 10pm
158,NNAJI PROVISION STORE,"82 Egerton Street, Calabar",08037641981,Provision Store,,,Provisions,,,Mondays - Saturdays  8am - 8pm  
159,NO LIMIT ENTERPRISE,"80 Calabar road, calabar","08033505905, 08033897438",Phone Shop,,,Phone Sales & Repairs,,,Mondays - Saturdays  8am -6pm  
160,NS COMMUNICATION AND TECHNOLOGY,89 Ekpo Abasi Street Calabar,08138932228,Phone,,,All types of Phone and Repairs,,,Mondays - Saturdays 8am - 6pm
161,OBIGOD ELECTRONICS,"13, 19 Nelson Mandella Road Calabar","08098223663, 08035753982",Electronics,,"5 Target Road, Calabar 08138860296","Sales of T.V, Home theartre, DVD",,,Mondays - Saturdays 8am - 9pm
162,ODE GOLDSMITH WORK,"49 Etta Agbo opposite Unical Gate, Calabar","08105740373, 08087923198",Repairs of Gold Material,,,"Repairs of Gold Rings, earing, Bracelets & Chain",,,Mondays - Saturdays 8am - 6pm
163,ODINKA ELECTRONICS,"50 Bedwell Street,Calabar",08037110092,Electronics,,,"Generator, Television, DVD ",,,Mondays - Saturdays 8am - 5pm
164,OK BENEK STORES,"86 MCC Road by Effio-ette Junction, Calabar",08034188994 08094455490,Drinks & Cosmetics Shop,,,"Wine, Spirit, Cosmetics, Provisions",macbenison@yahoo.co.uk,,Mondays - Sundays  8am - 11pm  
165,OLAENYI STORES,"6 Thomas Ishie Street, Calabar",,"Provision, Plastic",,,,,,Mondays - Saturdays  8am - 7pm  
166,OLIVITE IMPRESSION,"12 Etta Agbor Road, Calabar",08037651703 08122224653,Computer Systems & Accessories,,,Computer Systems & Accessories,,,Mondays - Saturdays  8am - 7pm  
167,OMAS SHOP MARTS,"2 Ekorinim 11, Calabar",09099938823 08068074667,Provision & Cosmetics,,,"Soft Drinks, Juice, Wine, Provision, Toiletries",,,Mondays - Saturdays 8am - 6pm
168,OPTIMISTIC PLAZA,"45 Etta Agbor Road, Calabar",08063406388 08028655995,"Phone, Computer & Accessories",,,"Phone, Computer, Digital Camera, Laptop Charger",,,Mondays - Saturdays 8am - 6pm
169,OPTION BEST COMMUNICATION,"26 Edim Otop Street, Calabar",08063216804 08056878700,Phone & Accessories,,,"Phone Casing, Chargers, Memory Card",,,Mondays - Saturdays  8am - 7pm  
170,OSCAR'S LINK ENTERPRISES,"23 Mary Slessor Avenue, Calabar",07039471194,Sales of Computer & Stationery,,,,,,Mondays - Saturdays 8am - 6pm
171,OUR LADY QUEEN OF ALL SAINTS BOOK CENTRE,"79 Egerton Street, Calabar",08056740805,Bookshop,,,,,,Mondays - Saturdays  8am - 6pm  
172,PAYLESS COMMUNICATION LINK,"7 Johnson Ishie Street, Calabar",08030987644,Phones & Accessories,,,,,,Mondays - Saturdays  8am - 6pm  
173,PEGGI SHOP,39 Mcc Road Calabar,08052793255,Drinks,,,Drinks & Provision,,,Mondays - Saturdays 7:30am - 6:30pm
174,PEOPLE' CHOICE COMMUNICATION,175 Goldie Street Calabar,"0817654265, 08084153144",Phone Accessories,,,Phone Product,,,Mondays - Saturdays 8am - 8pm
175,PETERIUK SERVICES,1 Bassey Duke Street Calabar,07037959026,Phones,,,"Techno Phones, Nokia Phones & Ear Piece",,,Mondays - Saturdays 8am - 6pm
176,PHONE HOUSE INTERNATIONAL,38 Atekong Drive Calabar,08034803337 08059590448,Phone Sales,,,All Kinds of Phones & Accessories,,,Mondays - Saturdays 8am - 6pm
177,PHONE REPUBLIC,"1 White House Street, Calabar",08033910342 08099916186,Phone,,,"Techno, Nokia, Samsung",,,Mondays - Saturdays 7.30am - 6.30pm
178,PHONE SOLUTION LTD,"75 Ndidem Usang Iso Road, Calabar (Opp.Cal.Mun.Council)",08033908033,Phone Sales & Repairs,,"15 Oche Rore Street, Ikom","Mobile Phones, Tablets, Gadgets, Accessories & Repairs",,,Mondays - Saturdays 8.30am - 6pm
179,PLUS GADGETS,"3 Asari Eso Layout, Calabar",08033416950 09030038447,Gadgets & Accessories,,,"Gadgets, Laptops & Accessories",plusgadgets.ng@gmail.com,,Mondays - Saturdays 8.30am - 6.30pm
180,PORTABLE DECISIONS,"86 Ndidem Usang Iso Road, opposite Municipality, Calabar",08067441616 08123811104,Computer & Accessories,,,"Laptops, Accessories, Projectors, Services",,decisionport@yahoo.com,Mondays - Saturdays  8am - 6pm  
181,PRESTIGE MART,"106 MCC Road, Calabar",08035733270 08032568315,Wine & Cosmetics,,,"Bags, Cosmetics, Wears",,,Mondays - Saturdays  8am -7pm  
182,PRIEST BUSINESS CENTRE,"54 Afokang Street, Calabar",08063987637,"Phone Accessories, Repairs & Maintenance",,,"Phone Accessories, Repairs & Maintenance",,,Mondays - Saturdays  8am - 9pm  
183,PROFESSION,"23 Mary Slessor Avenue, Calabar",08166244988,Provision/Drink Store,,,"Provisions, Biscuit,  Cocacola,  Soap,",,,Mondays - Saturdays 8am - 5pm
184,PROFESSOR DAN TECH,"18 Afokang Street, Calabar",08069326192,"Phone, Accessories & Repairs",,,"Phone, Memory Cards, Recharge Card, Repairs",,,Mondays - Saturdays  8am -7pm  
185,PROVISION,"235 Old Odukpani Road, Calabar",08030646618,"Cosmetics, Provision, Wines",,,,,,Mondays - Sundays  6am - 9pm  
186,R.Y COMMUNICATION,"29 Mbukpa Road, Calabar",08177379225 08173849980,Phone & Repairs,,,Phone Repairs & Maintenance,,,Mondays - Saturdays 8am - 7pm
187,REGTON SUPERSTORES,"110/64 Murtala Mohammed Highway, Calabar",08033405321,"Household Items, Cosmetics, Boutique",,,"Gift Items, Household Items, Books, Cosmetics",,,Mondays - Saturdays 8am - 8pm
188,RICH CHUKS WINE SHOP,"108 Ekpo Abasi Street, Calabar",08064673319,Wines,,,Assorted Wines,,,Mondays - Saturdays  8am - 6pm  
189,ROLLING MAGNET COMPUTER & PHONE REPAIR,"47 Atimbo Road, Calabar",08063195121,Computer & Phone Repairs,,,"Computer Repairs, Phone Accessories",,,Mondays - Saturdays  8am - 7pm  
190,"ROSEBERRY WINE, GIFT & FLOWER SHOP","75 MCC Road, Calabar",08063686932,"Gift Items, Wine & Flowers",,,"Household Items, Wine, Vases & Flowers",,,Mondays - Saturdays 8am - 8pm
191,ROYAL SHOP,"17 Mbukpa Road, Calabar",08065723253 08071245191,"Plate, Spoon, Cup, Rice, Indomie",,,"Rice, Indomie, Plate, Spoon, Cup",,,Mondays - Saturdays 8am - 7pm
192,SAFETY STORES,59 Marian Road Calabar,07035013293,Provision Store,,,"Provisions, Drinks, Milk Etc",,,Mondays - Saturdays 7am - 7pm
193,SAMMY GOD SHOP,"38 Bedwell by Nelson Mandela street, Calabar","08094413732, 07034005631",Phone Accessories,,,Phone Accessories & Recharge Cards,,,Mondays - Saturdays  8am - 6pm  
194,SAMS BRIGHT ELECTRO-MARTS ENTERPRISE,7 Nelson Mandella Road calabar,"08066535826, 08182793448",Electricals,,,Electrical Gadgets & Instaliation,,,Mondays - Saturdays 8am - 6pm
195,SETTIME CHILDREN EDUCATIONAL RESOURCES,"80 Calabar Road, Calabar",08077788879,Children Educationals,,,,,,Mondays - Saturdays  8am - 5pm  
196,SHAMMAH BOOK SHOP,37 Akim Road Calabar,09099933344,Book Store & Wine,,,"Wine, Soft Drinks, Bookshop",,,Mondays - Saturday 8am - 6pm
197,SHARP BRAINS BOOKSHOP,"169 Old Odukpani Road, Calabar",08188705878,Book & Stationery Shop,,,,,,Mondays - Saturdays 7am - 8.30pm
198,SILONE INVESTMENT NIG.,"54 IBB Way, Calabar",07064554091, Electronics & Electrical Shop,,,Gas Cooker & Cables,,,Mondays - Saturdays 8am - 9pm
199,SKYVIEW TECHNOLOGIES,"7 White House Street, Calabar",08037584588,Phone Contractors,,,,skyviewworldwide@gmail.com,,Mondays - Saturdays 8am - 6pm
200,SKYVIEW WINE SHOP,"40 Spring Road, Calabar",08062775693 08023086111,Wine Shop,,,"Wines, Spirit, Juice",,,Mondays - Saturdays  8am - 8pm  
201,SLOT SYSTEMS,"18 Ndidem Usang Iso Road, Calabar",08055499408 08055499409,Phones & Gadgets (Sales & Repairs ),,,"Phones, Gadgets, Accessories & Repairs",,www.slot.ng,Mondays - Saturdays 8am - 6pm
202,SMART EYAM O & IDEM KINGSFLO ELECTRONICS,"First Gate Ebrutu Barracks, Old Odukpani Road, Calabar",08035300506,Electronics & Electrical Materials,,,,,,Mondays - Saturdays  8am - 9pm  
203,SODUTEC TECHNOLOGIES,"82 Calabar Road, Calabar",08134149540,"Phones, Computer Accessories & Gadgets",,,"Phones, Computer Accessories & Gadgets",dontemple70@yahoo.com,,Mondays - Saturdays 7.30am - 5.30pm
204,SONI COMPUTER STORE,"80 Calabar Road, Calabar","08037007466, 08036773336",Computer,,,Computer,,,Mondays - Saturdays 8am - 6pm
205,SOUVENIR MART TINAPA FREE TRADE ZONE,"Shop B4 Tinapa Free Trade Zone, Calabar",08023515075 07066156386,"Sourvenirs, Household & Gift Items",,,"Sourvenirs, Household & Gift Items",,Sourvenirmart.com,Mondays - Saturdays 9am - 6pm
206,SPARKS SHOPZ,"55 Etta Agbor Road, Calabar",08064025069,Household Items & Cosmetics,,,"Perfumes, Frozen Foods, Household Items, Cosmetics",,,Monday - Sarturday 8am - 8pm
207,SPIRITUAL & RELIGIOUS SERVICE SALES CENTRE,"18 Afokang Street, Calabar",08039515867,Spiritual & Religious Material,,,"Candles, Bibles, Incent",,,Monday - Sarturday 8am - 7pm
208,ST IYKE STEEL COMPANY,"236 Old Odukpani Road by Ekpo Iso, Ikot Ansa, Calabar",08063533240 08185264403,Iron & Steel,,,"Rods, Angle Iron, Galvanized & Steel Pipes",,,Mondays - Saturdays 8am - 6pm
209,ST MICHEAL SPIRITUAL SHOP,"57 Palm Street, Calabar",09097459326,St Micheal Spiritual Material,,,"Rosary,Olive Oil, Incence",,,Mondays - Saturdays 8am - 6pm
210,STAPLES MART,"10 Atimbo Road, Calabar",07039097084,Variety Shop,,,"Wines, Cosmetics, Provision, Gift Item",,,Mondays - Sundays  7.30am - 10.30pm  
211,STELLPATT SOURVENIR& GIFT SHOP,"Shop 16 POWA shoping complex opposite Stadium, Calabar","08037238129, 08052014606",Household Accessories,,,Household Accessories& General Marchaandise,,,Mondays - Saturdays 8am - 6pm
212,STRACHAN LEATHER,"50 Bedwell Street,Calabar",08055939988,Leather bags,,,Assorted leather,,,Mondays - Saturdays  8am - 6pm  
213,SUNNY 4 J COMMUNICATION,"5 Old Etomi Road, Ikom",08064240383,Phones & Accessories,,,Phones & Accessories,,,Mondays - Saturdays  8am - 7pm  
214,SURPLUS VALUE SUPERMARKET,"5 Obudu Road, Ikom",08028932775,Provisions & Cosmetics Stores,,,"Provisions, Cosmetics, Drinks",,,Mondays - Saturdays  8am - 8pm  
215,TECHNO MARK,"2C River park complex opposite LE CHATEAU, Mcc road calabar",08099911139,Gift Items,,,"Plates, Flask & trays",,,Mondays - Saturdays 8am - 5pm
216,TECZON (DIVISION OF WILDFORTE GLOBAL LTD),"25 IBB Way, Calabar",08037709797 08037134743,Sales of IT Products & Services,,,Sales of Computers & More,ik_eyo@yahoo.com,,Mondays - Saturdays  8am - 6pm  
217,THE MATRIX WINERY,"106 MCC Road, Calabar",08076890087 08035103138,Wine & Spirit,,,"Wine, Spirit & Cosmetics",,,Mondays - Saturdays  8am -8pm  
218,THE YOUNG THOMPSON ELECTRONIC CO. (NIG),"15 Nelson Mandela Road, Calabar",08035463718,Furniture & Retail,,,,,,Mondays - Saturdays  8am -6pm  
219,TIJAYS VENTURE LIMITED,,08035850295 08113333533,Assorted Wine & Spirit,,,"Henessy, Remy Martins, Red Drostchy Holf",www.ernestenyiworld@yahoo.com,,Mondays - Fridays   8am -6pm  
220,TODAY'S CHOICES SUPERMARKET & STORES,"Shop E6 Tinapa Business Resort, Calabar",08036720192,Variety Store,,,"Cosmetics, Beverages, Drinks, Toiletries, Perfumes",,,Mondays - Saturdays  8am -6pm  
221,TOLYN INDUSTRIAL COMPANY,"80 Calabar Road, Calabar",08037059104,Provision Store,,,Provisions,,,
222,TONYATLA & CO,"22 Mayne Avenue, Calabar",08055164478,Electronics & Generating Plant,,"1 Ibiakono Road Mkpat Enin, AKS","Air Conditioners, Fans, TVs, Refrigerators",,,Mondays - Saturdays  8am - 6pm  
223,TOP SERVICES COMMUNICATION,"91 Calabar Road, Calabar",08134149540,"Phones, Laptop, Satelite Software",,,"Phones, Laptop, Satelite Software",,,Mondays - Saturdays 24hrs
224,TWIN DYNASTY,"TDG Harbour Road by Mopol 11, Calabar",08093599742 08079143785,Provision & Cosmetic Store,,,"Provisions, Confectionaries, Wines, Wears, Cosmetics, Gift Items",,,Mondays - Saturdays  8am - 9pm  
225,UB PHONE SOLUTION,"45 Etta Agbor Road, Calabar",08097393367,Phone Settings & Accessories,,,"Flashing, Upgrading, Formatting, Configuration",,,Mondays - Saturdays  8am - 6pm  
226,UCHE WORLD,"19/23 Nelson Mandela Road, Calabar",08034694256,Electronics & Furniture,,,,,,Mondays - Saturdays  8am -6pm  
227,UD BEST ELECTRONIC,"57 Mbukpa Road, Calabar",07067291979 08034131511,Electronics & Musical Instruments,,,Electronics & Musical Instruments,,,Mondays - Saturdays 8am - 7pm
228,UDEC COMMUNICATION LIMITED,"49 Etta Agbo opposite Unical Small Gate, Calabar",08034545566,Sales of Phones,,,"BB phones, Tecno & Nokia Phones",,,Mondays - Saturdays 8am - 7pm
229,UFIA TEXX STORES,141 Ndidem Usang Iso Road Calabar,07036391585 08099667594,Provision Store,,,"Drinks, Wines & Provision",,,Mondays - Saturdays 7am - 8pm
230,UGONABO TRADING & LOGISTICS LIMITED,"95 Atekong Drive, Calabar",08065316156 08033475532,Imports & Export of Assorted Wines,RC1058073,"Shop D2 Tinapa Resort, Calabar","Italian, Spanish & French Wines",ugonabofze@gmail.com,,Mondays - Saturdays 9am - 6pm
231,UKEME STATIONERIES STORE,"49 Etta Agbor Road, Calabar",07031213985,Stationaries Stores,,,"Stationaries, Computer Accessories, Office Equipment",,,Mondays - Saturdays  8am -6pm  
232,ULTIMATE TELECOMS,"Suite 11, Venetian Mall beside ITF Highway, Calabar",08036387794,"Gadgets, Laptops & Accessories",,,"Phones, Laptop, Cameras, Perfumes, Shoes, Watches",,,Mondays - Saturdays  8am -6pm  
233,UNIQUE SUPERSTORES,"84 MCC Road by Effio-ette Junction, Calabar",08037147314,Wine & Cosmetics Shop,,,"Wine, Beverages & Cosmetics",,,Mondays - Sundays  7am - 11pm  
234,VALUE MART LIMITED,"Venetiam Arena, Highway Calabar",09097071218,Super Market,,,Provision/ Cosmetic etc,gm@valuemant.com.ng,,Mondays - Saturdays 8am - 5pm
235,VENTURES SUPERMARKET,"6 Old Etomi Road, Ikom",08160573939 08072317529,Provision & Quality Cosmetics,,,Provision & Cosmetics,,,Mondays - Saturdays 8am - 7pm
236,VICHTECH NIGERIA,"79 IBB Way, Calabar",08039294802,Phones Repairs & Accessories,,,General Repairs & Accessories,victorokon329@yahoo.com,,Mondays - Saturdays 8am - 7pm
237,WALTHMAN,185 Goldie Street Calabar,"08036826123, 07058004215",Repairs of Phones & Computers,,,Repairs of Phones & Computers,,,Mondays - Saturdays  8am - 7pm  
238,WARANTY NETWORK PHONE LTD,"1 Edim Otop Street, Calabar",08035676815 08188856751,Phone Accessories,,,"Memory  Cards, Bluetooth Headset, Chargers, Batteries",,,Mondays - Saturdays  8am - 7pm  
239,WESTERN HOME LIMITED,21 Nelson Mandella Road calabar,"07034631311, 08071264343",Electronics,,,"Sales of T.Vs, Radios & DVD",,,Mondays - Saturdays 8am - 5pm
240,WILSON COMMUNICATION,"18 White House Street, Calabar",08035085117,Communication Service & Electrical Installation,,,,,,Mondays - Saturdays  8am -5pm  
241,WORLD BEST BUSINESS CENTRE,"13 Howell Street, Calabar",08063607599,"Phone Repairs, Drinks, Snacks, Play Station",,,"Phone Repairs, Drinks, Snacks, Play Station",,,Mondays - Saturdays  8am -8pm  
242,YUYU CHOICE COLLECTIONS,"1a Mekenge Layout, Calabar",08033455675 08109337988,"Household, Gift Item & Unisex Clothing",,,"Kitchen&Home Wares, Bags, Cosmetics, Clothes, Shoes",,,Mondays - Saturdays 8am - 6pm
243,Y-ZED SERVICES,"84 MCC Road by Effio-ette Junction, Calabar",08031584797,Phone Sales & Repairs,,,"Phone Sales, Repairs & Accessories",yzedservices@yahoo.com,,Mondays - Saturdays 8am - 10pm
244,ZARA WINE & GIFT SHOP,"66 NAOWA Shopping Plaza Old Odukpani Road, Calabar",08186676903,"Spirits, Assorted Wine",,,,,,Mondays - Saturdays  8am - 9pm  
245,ZITEL DISTRIBUTION,"97 Ndidem Usang Iso Road, Calabar",08030904255,Mobile Phones,,,"Nokia, Samsung, Blackberry, Techno",,,Mondays - Saturdays  8am - 6pm  
