HOTELS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/  Hours
184,TINAPA LAKESIDE HOTEL,"Tinapa Business & Leisure Resort Adiabo, Calabar",08033049197,Hotel,,,,reservations@tinapalakesidehotel.com,,Mondays - Sundays   24 Hrs
185,TOLIN HOTELS,46 Mcc Road Calabar,08033084459,,,,,,,
186,TOMBAI GUEST HOUSE,"7 New Obutong Street off MCC Road, Calabar",08036012125,Guest House,,,,tina_baithompson@yahoo.com,,
187,TRANSCORP METROPOLITAN,"10 Murtala Mohammed Highway, Calabar",08066900009,Hotel,,,,info.calabar@transcorphotels.com,,
188,TREASURE LAND HOTEL,"31 Ediba Road, Calabar",08134185550,Hotel,,,,mail@treasurelandhotels.com,,
189,TWINS BROTHERS,"38 Ikot Effa Street, Calabar",07031169595 07036482061,Guest House,,,,,,
190,UCTH GUEST HOUSE,"158 Parliamentary Village,  Calabar",08179231314,Guest House,,,,,,
191,UGAM RESORT,"1 Abetiambe Close, Ebri Drive by Zenith Bank off Highway, Calabar",07033669129,Hotel,,,,,,
192,UNICAL HOTEL,"Plot D85 Akim Layout, Eastern Highway, Calabar",08140648610 08180159290,Hotel,,,,justiceovat@gmail.com,,
193,VANEL HOTEL & SUITES,"1a Nsefik Eyo Layout off Marian by FiestaFries, Calabar",07039097070,Hotel,,,,info@floridahospitality.com,,
194,VENUE INN,"7 Ndon Edet off Atakpa, Calabar-South",08184210351,Inn,,,,,,
195,VIAAEM HOTEL,"35 Mekenge Layout, Calabar",08036813126,Hotel,,,,viaaemhotel@yahoo.com,,
196,VICTORY LODGE,"Behind Zone 6, By Monty Suites, Calabar",08034419578,Hotel,,,,,,
197,WILMAR HOTELS,"5 Ekpo Archibong Off Paliamentary Rd, Calabar",08023259388 07031308377,Luxury Lodge Restaurant & Bar,,,"Accomodation, Restaurant, Bar & Laundry Services",,,Mondays - Sundays   24 Hrs
198,WINDY'S PLACE,"22 Akai Street, Calabar",08034884993,Hotel,,,,windysplacehotels@yahoo.com,,
199,WINSOME SUITE,"90b Edim Otop Street, Calabar",08162349968 08087442342,Suite,,,,winsomesuite@yahoo.comwinsomesuites@yahoo.com,,
200,XCAPE SUITES,"4 Ika Ika Oqua Street, 3rd Avenue State Housing, Calabar",08052911958 07067034997,Suites,,,,xcapesuites@yahoo.com,,
201,ZOO GARDEN HOTEL,"27 Mary Slessor Avenue, Calabar",08038711217,Hotel,,,,,,
